gen,ind,condenser_p_Pa,drum_p_Pa,pr_scale,efficiency_pct,total_MW
0,0,5390.0,8000000,1.0000,54.0936,502.4
0,1,5281.2,8945885,1.0353,53.9759,501.3
0,2,7622.6,6347755,0.9844,53.2101,494.2
0,3,4604.3,6874552,1.0011,54.3484,504.8
0,4,4592.9,6795351,1.0300,54.2340,503.7
0,5,6407.3,6881762,1.0179,53.7798,499.5
0,6,7333.0,6025995,1.0612,53.2597,494.7
0,7,6943.5,7361002,0.9311,50.5271,469.3
0,8,7850.2,7346378,0.9185,49.3420,458.3
0,9,4838.5,9389977,1.0207,54.2126,503.5
0,10,7324.9,8918927,1.0072,53.6030,497.9
0,11,7905.9,7514138,1.0104,53.4691,496.6
0,12,7402.9,8474079,1.0723,53.1642,493.8
0,13,6520.7,8818287,0.9092,48.8641,453.9
0,14,5297.6,7157552,0.9160,49.8529,463.0
0,15,5314.8,6404006,0.9556,52.4872,487.5
0,16,6724.9,7459329,0.9740,52.9821,492.1
0,17,5233.3,7067911,1.0873,53.6225,498.1
0,18,6768.1,8436524,0.9342,50.7893,471.7
0,19,7051.9,6653610,0.9759,52.9837,492.1
1,0,5224.5,8841064,1.1000,53.5426,497.3
1,1,5209.6,8832007,1.0886,53.6215,498.0
1,2,7322.6,9449314,1.0017,53.6002,497.8
1,3,7331.0,7516797,1.0206,53.5419,497.3
1,4,8000.0,9634545,1.0181,53.4125,496.1
1,5,8000.0,8277372,1.0010,53.4505,496.5
1,6,5534.7,6789601,1.0664,53.6790,498.6
1,7,5306.0,6790375,1.0103,54.1202,502.7
1,8,6768.1,8436524,0.9342,50.7893,471.7
1,9,8000.0,7514138,1.0138,53.4363,496.3
1,10,4592.9,6795351,1.0300,54.2340,503.7
1,11,4911.7,6874552,1.0046,54.2520,503.9
1,12,4592.9,6795351,1.0300,54.2340,503.7
1,13,7622.6,6347755,0.9844,53.2101,494.2
1,14,4694.2,9027684,1.0807,53.8395,500.1
1,15,7011.3,6829220,1.0830,53.1792,493.9
1,16,4604.3,6874552,1.0011,54.3484,504.8
1,17,4500.0,6874552,1.0060,54.3901,505.2
1,18,4604.3,6874552,1.0011,54.3484,504.8
1,19,4592.9,6795351,1.0300,54.2340,503.7
2,0,4660.6,8996598,1.0595,54.0010,501.6
2,1,4500.0,6382069,1.0128,54.3722,505.0
2,2,4564.1,6688318,1.0688,53.9674,501.3
2,3,4500.0,7461489,1.0058,54.3902,505.2
2,4,4694.2,9027684,1.0814,53.8342,500.0
2,5,5256.4,9027684,1.0807,53.6606,498.4
2,6,5306.0,6790375,1.0103,54.1202,502.7
2,7,4500.0,7448973,1.0060,54.3901,505.2
2,8,4735.0,6798792,1.0104,54.3011,504.4
2,9,4809.6,6957729,0.9637,53.0609,492.8
2,10,6002.7,6787568,1.0311,53.7996,499.7
2,11,5998.2,6789177,1.0797,53.4556,496.5
2,12,4592.9,6795351,1.0300,54.2340,503.7
2,13,4694.2,9027684,1.0807,53.8395,500.1
2,14,4500.0,7527727,1.0060,54.3901,505.2
2,15,5534.7,6789601,1.0664,53.6790,498.6
2,16,4500.0,6571271,1.0083,54.3867,505.2
2,17,4621.8,6874552,1.0050,54.3484,504.8
2,18,4500.0,6874552,1.0060,54.3901,505.2
2,19,4604.3,6874552,1.0011,54.3484,504.8
3,0,4500.0,7448973,1.0060,54.3901,505.2
3,1,4500.0,7448973,1.0060,54.3901,505.2
3,2,5030.7,6865045,1.0038,54.2135,503.5
3,3,4671.8,7186218,1.0063,54.3308,504.6
3,4,4655.1,6669100,1.0082,54.3337,504.7
3,5,4690.2,6658712,1.0092,54.3193,504.5
3,6,4500.0,7461489,1.0058,54.3902,505.2
3,7,4500.0,6874552,1.0060,54.3901,505.2
3,8,4500.0,7461489,1.0058,54.3902,505.2
3,9,4604.3,6874552,1.0011,54.3484,504.8
3,10,4500.0,7324076,1.0064,54.3897,505.2
3,11,4555.4,6974552,1.0058,54.3709,505.0
3,12,4500.0,6159885,1.0090,54.3851,505.1
3,13,4500.0,6376989,1.0141,54.3659,505.0
3,14,4521.1,6558264,1.0379,54.2042,503.5
3,15,4500.0,6675760,1.0076,54.3881,505.2
3,16,4500.0,7485020,1.0027,54.3886,505.2
3,17,4604.5,6706204,1.0004,54.3459,504.8
3,18,4500.0,7461489,1.0058,54.3902,505.2
3,19,4500.0,7448973,1.0060,54.3901,505.2
4,0,4500.0,7170915,1.0058,54.3902,505.2
4,1,4500.0,7461489,1.0058,54.3902,505.2
4,2,4503.2,6937246,0.9755,53.7059,498.8
4,3,4524.0,6783721,1.0065,54.3812,505.1
4,4,4500.0,6900790,1.0060,54.3901,505.2
4,5,4500.0,7461489,1.0058,54.3902,505.2
4,6,4500.0,7448729,1.0066,54.3895,505.2
4,7,4500.0,7274638,1.0060,54.3901,505.2
4,8,4500.0,7461489,1.0058,54.3902,505.2
4,9,4500.0,7461489,1.0058,54.3902,505.2
4,10,4500.0,7958825,1.0060,54.3901,505.2
4,11,4500.0,6714281,1.0067,54.3894,505.2
4,12,4500.0,7429558,1.0070,54.3890,505.2
4,13,4500.0,6192105,1.0113,54.3779,505.1
4,14,4500.0,7461489,1.0058,54.3902,505.2
4,15,4500.0,7448973,1.0060,54.3901,505.2
4,16,4500.0,7496801,1.0063,54.3898,505.2
4,17,4500.0,7311169,1.0065,54.3896,505.2
4,18,4500.0,7461489,1.0058,54.3902,505.2
4,19,4500.0,7461489,1.0058,54.3902,505.2
5,0,4500.0,7461489,1.0058,54.3902,505.2
5,1,4500.0,7461489,1.0094,54.3840,505.1
5,2,4622.7,7263730,1.0096,54.3411,504.7
5,3,4500.0,7145250,1.0059,54.3901,505.2
5,4,4500.0,7448973,1.0060,54.3901,505.2
5,5,4500.0,7274638,1.0060,54.3901,505.2
5,6,4500.0,7461489,1.0058,54.3902,505.2
5,7,4500.0,7461489,1.0058,54.3902,505.2
5,8,4500.0,7461489,1.0058,54.3902,505.2
5,9,4500.0,7448973,1.0060,54.3901,505.2
5,10,4500.0,7315327,1.0062,54.3899,505.2
5,11,4500.0,7403655,1.0060,54.3900,505.2
5,12,4500.0,7461489,1.0058,54.3902,505.2
5,13,4500.0,7461489,1.0058,54.3902,505.2
5,14,4500.0,7999349,1.0059,54.3901,505.2
5,15,4500.0,7437305,1.0059,54.3901,505.2
5,16,5044.7,7458089,0.9798,53.7069,498.8
5,17,4500.0,7461489,1.0058,54.3902,505.2
5,18,4500.0,7170915,1.0058,54.3902,505.2
5,19,4500.0,7461489,1.0058,54.3902,505.2
6,0,4500.0,7461489,1.0058,54.3902,505.2
6,1,4500.0,7461489,1.0058,54.3902,505.2
6,2,4500.0,7461489,1.0058,54.3902,505.2
