gen,ind,condenser_p_Pa,drum_p_Pa,pr_scale,efficiency_pct,total_MW
0,0,5390.0,8000000,1.0000,54.0936,502.4
0,1,5678.5,11364712,1.0737,53.5859,497.7
0,2,13706.2,4869388,0.8953,45.9099,426.4
0,3,3357.6,6186380,0.9537,53.1498,493.7
0,4,3318.4,5988377,1.0549,54.5595,506.8
0,5,9539.3,6204406,1.0125,53.1456,493.6
0,6,12713.2,4064988,1.1641,51.6720,479.9
0,7,11377.7,7402505,0.7088,0.0000,0.0
0,8,14486.6,7365945,0.6649,0.0000,0.0
0,9,4160.6,12474944,1.0226,54.4376,505.6
0,10,12685.5,11297318,0.9754,51.9349,482.4
0,11,14677.4,7785344,0.9864,52.1511,484.4
0,12,12952.9,10185198,1.2032,51.4170,477.6
0,13,9928.2,11045718,0.6321,0.0000,0.0
0,14,5734.8,6893880,0.6559,0.0000,0.0
0,15,5793.5,5010014,0.7946,0.0000,0.0
0,16,10628.2,7648322,0.8591,40.2032,373.4
0,17,5514.1,6669778,1.2557,52.5764,488.3
0,18,10776.4,10091310,0.7198,0.0000,0.0
0,19,11749.5,5634025,0.8656,41.5082,385.5
1,0,5483.9,11102660,1.3000,52.3631,486.4
1,1,5432.9,11080018,1.2600,52.5781,488.4
1,2,12677.6,12623284,0.9561,50.9733,473.4
1,3,12706.3,7791994,1.0221,52.5966,488.5
1,4,15000.0,13086362,1.0133,52.3533,486.3
1,5,15000.0,9693429,0.9534,50.5067,469.1
1,6,6547.5,5974002,1.1823,52.6891,489.4
1,7,5763.4,5975936,0.9862,53.7452,499.2
1,8,10776.4,10091310,0.7198,0.0000,0.0
1,9,15000.0,7785344,0.9981,52.3470,486.2
1,10,3318.4,5988377,1.0549,54.5595,506.8
1,11,6732.5,11364712,1.0860,53.2257,494.4
1,12,3318.4,5988377,1.0549,54.5595,506.8
1,13,12952.9,10185198,1.2032,51.4170,477.6
1,14,3665.7,11569209,1.2323,53.3415,495.4
1,15,11610.2,6073050,1.2406,51.4055,477.5
1,16,5390.0,8000000,1.0000,54.0936,502.4
